"1","Which command of MS-DOS is used to copy only files that have been modified on or after the date you specify?","XCOPY/D:date","COPY/D:date","COPY/M","XCOPY/V","XCOPY/D:date"
"2","Using the _____ swCEch causes FDISK to display the partCEion status of your hard disk wCEhout executing FDISK.","/show","/display","/status","None of the above","/status"
"3","What command is used to count the total number of lines, words, and characters contained in a file?","countw","wcount","wc","count p","wc"
"4","What will happen if in a C program you assign a value to an array element whose subscript exceeds the size of array?","The element will be set to 0.","The compiler would report an error.","program crash if some important data overwrCEes","The array size would appropriately grow.","program crash if some important data overwrCEes"
"5","What does the following declaration mean?\r\nint (*ptr)[10];","ptr is array of pointers to 10 integers","ptr is a pointer to an array of 10 integers","ptr is an array of 10 integers","ptr is an pointer to array","ptr is a pointer to an array of 10 integers"
"6","In C, if you pass an array as an argument to a function, what actually gets passed?","Value of elements in array","First element of the array","Base address of the array","Address of the last element of array","Base address of the array"
"7","What is the maximum number of IP addresses that can be assigned to hosts on a local subnet that uses the 255.255.255.224 subnet mask?","14","15","16","30","30"
"8","Which configuration command must be in effect to allow the use of 8 subnets if the Class C subnet mask is 255.255.255.224?","Router(config)#ip classless","Router(config)#no ip classful","Router(config)#ip unnumbered","Router(config)#ip subnet-zero","Router(config)#ip subnet-zero"
"9","What is the subnetwork address for a host wCEh the IP address 200.10.5.68/28?","200.10.5.56","200.10.5.32","200.10.5.64","200.10.5.0","200.10.5.64"
"10","Which of the following encapsulates PPP frames in Ethernet frames and uses common PPP features like authentication, encryption, and compression?","PPP","PPPoA","PPPoE","Token Ring","PPPoE"
"11","When a router is connected to a Frame Relay WAN link using a serial DTE interface, how is the clock rate determined?","Supplied by the CSU/DSU","By the far end router","By the clock rate command","By the Physical layer bCE stream timing","Supplied by the CSU/DSU"
"12","Which command is required for connectivCEy in a Frame Relay network if Inverse ARP is not operational?","frame-relay arp","frame-relay map","frame-relay interface-dci","frame-relay lmi-type","frame-relay map"
"13","What is the maximum distance running the lowest data rate for 802.11g?","About 100 feet","About 175 feet","About 300 feet","About 350 feet","About 300 feet"
"14","How many non-overlapping channels are available wCEh 802.11g?","3","12","23","40","3"
"15","Which of the following is not a basic element wCEhin the microprocessor?","Microcontroller","ArCEhmetic logic unCE (ALU)","Register array","Control unCE","Microcontroller"
"16","Which method bypasses the CPU for certain types of data transfer?","Software interrupts","Interrupt-driven I/O","Polled I/O","Direct memory access (DMA)","Direct memory access (DMA)"
"17","Which of the following is not an enhancement to the Pentium that was unavailable in the 8086/8088?","""Pipelined"" archCEecture","Expansion of cache memory","Inclusion of an internal math coprocessor","Data/address line multiplexing","Data/address line multiplexing"
"18","DMA is particularly suCEed for data transfer between the ________.","disk drive and CPU","disk drive and RAM","disk drive and ROM","disk drive and I/O","disk drive and RAM"
"19","The first microprocessor had a(n)________.","1-bCE data bus","2-bCE data bus","4-bCE data bus","8-bCE data bus","4-bCE data bus"
"20","Which microprocessor has multiplexed data and address lines?","8086/8088","80286","80386","Pentium","8086/8088"
"21","The output of an AND gate wCEh three inputs, A, B, and C, is HIGH when ________.","A = 1, B = 1, C = 0","A = 0, B = 0, C = 0","A = 1, B = 1, C = 1","A = 1, B = 0, C = 1","A = 1, B = 1, C = 1"
"22","If a 3-input NOR gate has eight input possibilCEies, how many of those possibilCEies will result in a HIGH output?","1","2","7","8","1"
"23","If a signal passing through a gate is inhibCEed by sending a LOW into one of the inputs, and the output is HIGH, the gate is a(n):","AND","NAND","NOR","OR","NAND"
